id,title,cluster_id
119,Micro Lesson on breathing and posture when bored,13
120,Micro Lesson on being happier and less bored,9
121,Micro Lesson on proper lighting,11
122,EPISODE 2045 EXCERPT - Reframing Race,11
123,My dog Snickers uses the transporter,2
124,Micro Lesson on Micro Dieting,9
125,Micro Lesson on business contracts,11
126,"Micro Lesson on solving ""problems"" with a reframe",2
127,Micro Lesson on finding and loving yourself,4
128,"A Micro Lesson on avoiding ""cancellation""",8
129,Micro Lesson on using your environment to program your brain,12
130,A Micro Lesson on fixing online education,12
131,Micro Lesson on detecting lies,7
132,A Micro Lesson on Stock investing for beginners,7
133,A Micro Lesson on managing oxytocin to improve relationships,9
134,Episode 2158 EXCERPT: American Success,6
135,Micro Lesson on dopamine and social life,9
136,A Micro Lesson on Dog Psychology,10
137,Micro Lesson on making yourself feel better,9
138,A Micro Lesson on how to learn something effectively,9
139,A Micro Lesson on dressing for outdoor dining during a pandemic,13
140,Micro Lesson on three efficiency hacks,14
141,A Micro Lesson on what I call compound learning,2
142,A Micro Lesson on words creating reality,1
143,A Micro Lesson on how to explain things clearly,11
144,A Micro Lesson on finding your path to meaning and happiness,4
145,Episode 2219 Micro-Lesson EXCERPT: U.S. Political System,7
146,A Micro Lesson (15 minutes) on how to become a cartoonist,14
147,"Episode 2241 EXTRACT - Beyond Intersectionality, Micro Lesson",3
148,A Micro Lesson on using the 80-20 rule to build your Talent Stack,6
149,A Micro Lesson on drawing a cartoon/comic fac,14
150,"A Micro Lesson on drawing bodies, shading and perspective",14
151,Whiteboard EXCERPT From Episode 2258,7
152,Micro Lesson on how to win a coin toss every time,5
153,A Micro Lesson on how to decide a new line of business will work,6
154,A Micro Lesson on The Great Filters of reality,3
155,A Micro Lesson on programming your brain via word choice,4
156,A Micro Lesson on using persuasion to minimize the coming George Floyd riots,8
157,Micro Lesson -- Summoning The Executive,9
158,A Micro Lesson on reframing,13
159,A Micro Lesson on back-scratching and touch,10
160,Learn how to moonwalk (badly),2
161,A Micro Lesson on using failure to predict the future,2
162,A Micro Lesson on Happiness using the Mating Filter,4
163,A Micro Lesson in movie script construct,2
164,A Public Service Announcement about Fake News,7
165,A Micro Lesson on dealing with criticism,1
166,A Micro Lesson on self-esteem and The Impostor Syndrome,4
167,The Six Levels of Political Awareness,11
168,How to Write Humor,1
169,A Micro Lesson on How to be Non-Judgemental,3
170,Micro Lesson on Manners -- a reframe,9
171,Micro Lesson on reframing exercise,13
172,Micro Lesson on eye contact,11
173,Micro Lesson on how to end a conversation,11
174,Micro Lesson on SPECIFICALLY how to make eye contact,11
175,A Micro Lesson on How to Tell a Story,11
176,Micro Lesson on willpower versus systems,2
177,Micro Lesson on The Blob running the country,7
178,Personal Finance Micro Lesson,11
179,A Micro Lesson on reprogramming your food preferences,3
180,Micro Lesson on Mind-reading Persuasion,8
181,Micro Lesson on free will versus authoring,2
182,A Micro Lesson on writing a good Tweet (or anything else),8
183,Micro Lesson on mental health,9
184,How to pet a cat,10
185,Micro Lesson on how weird you are,3
186,Micro Lesson on the Great Filters of life,2
187,Episode 965 Scott Adams,1
188,"Micro Lesson on how to ""Get Out!"" of your head",1
189,Micro Lesson on Identity persuasion,8
190,A Micro Lesson on reciprocity as human source code,3
191,Affirmations Episode 971 Scott Adams,4
192,Micro Lesson on weed,10
193,Micro Lesson on Underdoing Exercise,13
194,"A micro lesson on optimizing your ""story of self""",4
195,Micro Lesson on fake equals real,4
196,A Micro Lesson on Proper Voice Technique,8
197,Micro Lesson on single parents and poverty,0
198,Episode 975 Scott Adams,2
199,A Micro Lesson on identifying winners versus losers,3
200,How to video conference or livestream right,6
201,Micro Lesson on Judging Yourself by your Future,4
202,How to create a Dilbert comic,2
203,A Micro Lesson on How to Smoke Marijuana,10
204,Micro Lesson on Persuasion Timing,8
205,Micro Lesson on being smart about America’s debt,11
206,Extracted From Episode 983,2
207,Micro Lesson From Episode 985,6
208,Micro Lesson on brainwashing and politics,8
209,Micro Lesson on the human machine,9
210,Micro Lesson on the persuasion ethics stack,8
211,How to clean a bong,12
212,How to talk to strangers,11
213,Micro Lesson (Extract from Ep. 989),1
214,A Micro Lesson on how to get rich,2
215,"Micro Lesson on ""I get to...""",13
216,A micro lesson on Design,14
217,Episode 995 Micro Lesson,6
218,How to draw,14
219,A Micro Lesson on turning a bad day to your advantage,9
220,Micro Lesson on Media Training,11
221,Micro Lesson on curing loneliness,9
222,Episode 1003 Micro Lesson - Getting a Raise,6
223,A Micro Lesson on spotting Cognitive Dissonance,1
224,A Micro Lesson on the Rule of Twelve for building a talent stack,6
225,A Micro Lesson on pets as an obstacle to success,10
226,A Micro Lesson from behind the persuasion curtain,8
227,A Micro Lesson on the Psychology of exercising,13
228,A Micro Lesson on cryptocurrencies (for beginners),11
229,A micro lesson on persuasion,3
230,A Micro Lesson on Illusions that block success,6
231,My Covid Shot risk analysis,0
232,A Micro Lesson on being careful what you measure,0
233,A Micro Lesson on not losing your stuff in the house,14
234,A Micro Lesson on fixing anything with duct tape,14
235,A Micro Lesson on how to make friends,11
236,A Micro Lesson on picking the right tools for the job,14
237,A Micro Lesson on learning what causes your moods,9
238,When systems collide,14
239,A Micro Lesson on Pulling it all Together for success,6
240,A micro lesson on how to worry less about the weekly “crisis”,0
241,A Micro Lesson on how Hypnotists read bodies,5
242,A Micro Lesson on using selfishness to predict the future,4
243,A Micro Lesson on your importance,6
244,A Micro Lesson on Levels of Awareness,8
245,A Micro Lesson on calling your cat,10
246,A Micro Lesson on determining your human value,4
247,Micro Lesson on managing experts,2
248,A Micro Lesson on fun versus efficiency,12
249,A micro lesson on how to deal with false accusations,11
250,A Micro Lesson on voice variability,8
251,Micro lesson on saving your relationship from TDS,8
252,A Micro Lesson on when to believe the experts versus smart citizens,6
253,A Micro Lesson on setting up a livestream studio,6
254,A Micro Lesson on maximizing your creativity,2
255,"A Micro Lesson on managing your energy, not your time",13
256,"A Micro Lesson on how ""learning"" can be ten times better",6
257,A Micro Lesson on managing your ego,4
258,Fitness Micro Lesson,13
259,A Micro Lesson on creating assets from nothing,2
260,A Micro Lesson on finding your advantage,6
